Date,Weight
2023-09-01,98.0
2023-09-02,98.1
2023-09-03,98.2
2023-09-04,98.1
2023-09-05,97.9
2023-09-06,97.7
2023-09-07,98.2
2023-09-08,97.9
2023-09-09,97.8
2023-09-10,98.4
2023-09-11,98.2
2023-09-12,97.9
2023-09-13,97.8
2023-09-14,97.8
2023-09-15,98.0
2023-09-16,98.2
2023-09-17,97.9
2023-09-18,98.1
2023-09-19,98.1
2023-09-20,97.8
2023-09-21,98.3
2023-09-22,98.1
2023-09-23,97.9
2023-09-24,97.7
2023-09-25,98.1
2023-09-26,98.3
2023-09-27,98.1
2023-09-28,97.9
2023-09-29,98.1
2023-09-30,98.1
2023-10-01,98.1
2023-10-02,98.1
2023-10-03,98.1
2023-10-04,98.1
2023-10-05,98.4
2023-10-06,98.3
2023-10-07,98.0
2023-10-08,98.1
2023-10-09,98.1
2023-10-10,97.9
2023-10-11,98.0
2023-10-12,97.9
2023-10-13,98.3
2023-10-14,97.9
2023-10-15,98.0
2023-10-16,98.0
2023-10-17,98.2
2023-10-18,98.2
2023-10-19,97.9
2023-10-20,98.1
2023-10-21,98.3
2023-10-22,98.0
2023-10-23,98.1
2023-10-24,97.8
2023-10-25,98.0
2023-10-26,98.0
2023-10-27,98.0
2023-10-28,97.7
2023-10-29,98.2
2023-10-30,97.6
2023-10-31,98.0
2023-11-01,98.0
2023-11-02,98.1
2023-11-03,98.4
2023-11-04,97.9
2023-11-05,98.0
2023-11-06,98.1
2023-11-07,98.1
2023-11-08,98.4
2023-11-09,98.0
2023-11-10,98.1
2023-11-11,98.1
2023-11-12,98.0
2023-11-13,98.0
2023-11-14,98.2
2023-11-15,97.9
2023-11-16,97.8
2023-11-17,98.5
2023-11-18,98.2
2023-11-19,98.2
2023-11-20,98.1
2023-11-21,97.7
2023-11-22,98.0
2023-11-23,97.9
2023-11-24,97.9
2023-11-25,97.8
2023-11-26,98.3
2023-11-27,98.2
2023-11-28,97.9
2023-11-29,97.8
2023-11-30,98.0
2023-12-01,97.9
2023-12-02,97.7
2023-12-03,97.8
2023-12-04,97.9
2023-12-05,98.0
2023-12-06,98.1
2023-12-07,97.7
2023-12-08,97.9
2023-12-09,98.6
2023-12-10,97.8
2023-12-11,98.1
2023-12-12,98.3
2023-12-13,97.8
2023-12-14,97.8
2023-12-15,98.3
2023-12-16,98.3
2023-12-17,98.1
2023-12-18,98.0
2023-12-19,98.0
2023-12-20,97.8
2023-12-21,98.0
2023-12-22,98.1
2023-12-23,98.4
2023-12-24,97.9
2023-12-25,98.0
2023-12-26,98.4
2023-12-27,97.8
2023-12-28,97.9
2023-12-29,97.8
2023-12-30,98.0
2023-12-31,97.9
2024-01-01,97.7
2024-01-02,98.0
2024-01-03,98.0
2024-01-04,97.0
2024-01-05,97.0
2024-01-06,97.0
2024-01-07,96.8
2024-01-08,97.5
2024-01-09,97.3
2024-01-10,97.0
2024-01-11,97.0
2024-01-12,97.0
2024-01-13,97.0
2024-01-14,96.4
2024-01-15,96.0
2024-01-16,96.0
2024-01-17,95.8
2024-01-18,95.9
2024-01-19,95.9
2024-01-20,95.9
2024-01-21,95.9
2024-01-22,96.0
2024-01-23,95.7
2024-01-24,95.6
2024-01-25,95.5
2024-01-26,95.2
2024-01-27,95.5
2024-01-28,95.4
2024-01-29,95.5
2024-01-30,95.3
2024-01-31,95.3
2024-02-01,95.1
2024-02-02,94.8
2024-02-03,95.1
2024-02-04,95.2
2024-02-05,95.0
2024-02-06,95.2
2024-02-07,95.1
2024-02-08,94.8
2024-02-09,94.8
2024-02-10,94.8
2024-02-11,94.5
2024-02-12,94.5
2024-02-13,94.5
2024-02-14,94.2
2024-02-15,94.5
2024-02-16,94.4
2024-02-17,94.1
2024-02-18,94.3
2024-02-19,93.7
2024-02-20,94.0
2024-02-21,94.5
2024-02-22,94.0
2024-02-23,92.5
2024-02-24,92.5
2024-02-25,93.1
2024-02-26,93.0
2024-02-27,92.0
2024-02-28,91.9
2024-02-29,92.0
2024-03-01,91.5
2024-03-02,91.2
2024-03-03,91.0
2024-03-04,91.0
2024-03-05,90.6
2024-03-06,90.5
2024-03-07,90.2
2024-03-08,90.0
2024-03-09,90.0
2024-03-10,90.5
2024-03-11,89.7
2024-03-12,89.0
2024-03-13,90.5
2024-03-14,90.0
2024-03-15,89.7
2024-03-16,90.0
2024-03-17,89.0
2024-03-18,89.0
2024-03-19,89.2
2024-03-20,89.0
2024-03-21,89.2
2024-03-22,89.6
2024-03-23,89.5
2024-03-24,88.5
2024-03-25,88.0
